year,strategy_return_pct,vni_return_pct,edge_vs_vni_pp,pass_vni20,pass_vni30
2016,14.50500390000007,15.74833307219583,-1.243329172195761,False,False
2017,22.658322648640315,48.03495420157324,-25.376631552932928,False,False
2018,24.939910193720305,-9.316833292692838,34.25674348641314,True,True
2019,-7.095910414072182,7.669124072870681,-14.765034486942865,False,False
2020,24.40354245287044,14.868000707603612,9.535541745266826,False,False
2021,189.65485227474812,35.72975078587153,153.92510148887663,True,True
2022,34.46102420172992,-32.78359185199028,67.2446160537202,True,True
2023,46.54006965093798,12.197519586134309,34.342550064803675,True,True
2024,58.061772550651305,12.111369730868285,45.95040281978302,True,True
2025,73.97428335788285,40.86818547814144,33.10609787974141,True,True
2026,38.45937137197106,5.690141160779838,32.76923021119122,True,True
